UUID,Template,Street,City,State,Zip,OutputStreet,OutputCity,OutputState,OutputZip,Lon,Lat,Header,SL,SL2,County,RFD_ID,FS,WZ,PWF_DistanceInFeet,YrBuilt,LivingArea,Baths,HalfBaths,HalfBaths,InputStreet,InputCity,InputState,InputZip,NumCandidates,NumCloseCandidates,GoodCandidate
583cbb6347a1b,RMIatTXwithRMS,10319 Buena Park Dr,Houston,TX,77089,10319 BUENA PARK DR,HOUSTON,TX,77089,-95.232516,29.614257,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,13.3,12.4,Harris,RM482010310,1.35,OUT,9328,1969,948,1,,,,,,,,,
583cbade0bf6a,RMIatTXwithRMS,1220 E. Mile 4 road,Palmhurst,TX,78573,1220 E MILE 4 RD,PALMHURST,TX,78573,-98.299505,26.27026,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,53,53,Hidalgo,RM482150233,2.16,OUT,269,1989,720,1,,,,,,,,,
583cb9a6a9680,RMIatTXwithRMS,7118 sundance meadows ln,richmond,TX,77407,7118 SUNDANCE MEADOWS LN,RICHMOND,TX,77407,-95.73402,29.700715,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,44,41,Fort Bend,RM481570350,1.21,OUT,4304,2007,2635,2,,,,,,,,,
583cb9458feec,RMIatTXwithRMS,2802 Aliso Shadow,Houston,TX,77089,2802 ALISO SHADOW CT,HOUSTON,TX,77089,-95.255324,29.58164,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,14.4,14.4,Harris,RM482010580,1.66,OUT,1063,2013,3365,4,,,,,,,,,
583cb819e993d,RMIatTXwithRMS,12806 Highland Hills Dr,Cypress,TX,77429,12806 HIGHLAND HILLS DR,CYPRESS,TX,77429,-95.608159,29.99886,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,44,37,Harris,RM482010560,1.09,OUT,8947,1980,2649,3,1,1,,,,,,,
583cb7d63d2d9,RMIatTXwithRMS,209 W HOMAN ST,BAYTOWN,TX,77520,209 W HOMAN ST,BAYTOWN,TX,77520,-94.967722,29.744768,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,4.5,2.6,Harris,RM482010050,1.21,OUT,6592,1943,1152,2,,,,,,,,,
583cb707e82aa,RMIatTXwithRMS,2810 Joshua Tree Lane,Manvel,TX,77578,2810 JOSHUA TREE LN,MANVEL,TX,77578,-95.378223,29.522582,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,21.8,21.8,Brazoria,RM480390500,3.33,,1975,2011,4653,,,,,,,,,,
583cb6b251127,RMIatTXwithRMS,406 Stone Gate Dr,Mission,TX,78574,406 STONEGATE DR,MISSION,TX,78574,-98.317606,26.240858,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,55,55,Hidalgo,RM482150120,2.21,OUT,2910,2003,1828,2,,,,,,,,,
583cb69dac919,RMIatTXwithRMS,11427 quincewood,houston,TX,77089,11427 QUINCEWOOD DR,HOUSTON,TX,77089,-95.2117,29.594189,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,11.9,11.9,Harris,RM482010700,1.58,OUT,7827,1979,1708,2,,,,,,,,,
583cb63aa85b6,RMIatTXwithRMS,7919 Burning Oak Ln,RICHMOND,TX,77407,7919 BURNING OAK LN,RICHMOND,TX,77407,-95.68945,29.691285,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,41,38,Fort Bend,RM481570350,2.16,OUT,3352,2006,1940,2,,,,,,,,,
583cb6142f05c,RMIatTXwithRMS,12002 Monticeto Lane,Houston,TX,77477,12002 MONTICETO LN,MEADOWS PLACE,TX,77477,-95.588516,29.655799,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,35,32,Fort Bend,RM481570060,0.92,OUT,17466,1974,2295,2,,,,,,,,,
583cb5eb6972a,RMIatTXwithRMS,20607 E Sand Hill Dr,Galveston,TX,77554,20607 E SAND HILL DR,GALVESTON,TX,77554,-95.023689,29.151175,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,0.09,0.09,Galveston,RM481671260,1.69,,1111,2001,3650,3,,,,,,,,,
583cb4f05ef41,RMIatTXwithRMS,4986 Valkeith Dr,Houston,TX,77096,4986 VALKEITH DR,HOUSTON,TX,77096,-95.466273,29.674641,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,28,24.5,Harris,RM482010310,2.02,OUT,12290,1959,3343,3,1,1,,,,,,,
583cb436bfd85,RMIatTXwithRMS,20607 east sandhill drive,galveston,TX,77554,20607 E SAND HILL DR,GALVESTON,TX,77554,-95.023689,29.151175,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,0.09,0.09,Galveston,RM481671260,1.69,,1111,2001,3650,3,,,,,,,,,
583cb3db6803f,RMIatTXwithRMS,3607 Monarch Grove Ln,Katy,TX,77494,3607 MONARCH GROVE LN,KATY,TX,77494,-95.833573,29.729912,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,50,46,Fort Bend,RM481570220,2.34,OUT,12783,2010,3434,3,,,,,,,,,
583cb3cf24d73,RMIatTXwithRMS,12923 Mason Terrace Ln,Cypress,TX,77433,12923 MASON TERRACE LN,CYPRESS,TX,77433,-95.71207,29.967209,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,48,42,Harris,RM482010140,3.28,OUT,2352,2006,2697,3,1,1,,,,,,,
583cb1eed0992,RMIatTXwithRMS,2109 BRIARGLEN DR,HOUSTON,TX,77027,2109 BRIARGLEN DR,HOUSTON,TX,77027,-95.450372,29.74559,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,28,23,Harris,RM482010310,1.27,OUT,32842,1998,2876,4,1,1,,,,,,,
583cb1d38440b,RMIatTXwithRMS,7427 BREIFWAY ST,HOUSTON,TX,77087,7427 BRIEFWAY ST,HOUSTON,TX,77087,-95.294841,29.692272,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,17.3,14.1,Harris,RM482010310,1.42,OUT,27043,1951,1500,1,,,,,,,,,
583cb1a2b8c5b,RMIatTXwithRMS,3330 Shore Side Dr,Crosby,TX,77532,3330 SHORE SIDE DR,CROSBY,TX,77532,-95.139363,29.944353,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,20.6,14.7,Harris,RM482010130,1.30,OUT,1757,1999,2570,2,,,,,,,,,
583cb174e3789,RMIatTXwithRMS,2705 W Mile 5 Rd,Mission,TX,78574,2705 W MILE 5 RD,MISSION,TX,78574,-98.35084,26.290312,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,56,56,Hidalgo,RM482150583,2.42,OUT,1768,1989,2007,,,,,,,,,,
583cb172bf2bf,RMIatTXwithRMS,5910 Echo Lake Lane,Houston,TX,77069,5910 ECHO LAKE LN,HOUSTON,TX,77069,-95.526887,29.9878,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,39,33,Harris,RM482010090,1.55,OUT,19121,1965,3559,3,1,1,,,,,,,
583cb0f7bd2f4,RMIatTXwithRMS,9423 Val Verde,Houston,TX,77063,9423 VAL VERDE ST,HOUSTON,TX,77063,-95.531276,29.735662,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,32,28,Harris,RM482010310,0.79,OUT,27064,1961,1568,2,,,,,,,,,
583cb083e6cf9,RMIatTXwithRMS,2607 W PEBBLE BEACH DR,MISSOURI CITY,TX,77459,2607 W PEBBLE BEACH DR,MISSOURI CITY,TX,77459,-95.552807,29.581476,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,33,32,Fort Bend,RM481570360,0.94,OUT,11886,1972,2542,2,,,,,,,,,
583cb01ce277c,RMIatTXwithRMS,19107 high meadow lane,tomball,TX,77377,19107 HIGH MEADOW LN,TOMBALL,TX,77377,-95.72252,30.045251,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,51,45,Harris,RM482010630,4.24,OUT,1809,1992,3593,4,1,1,,,,,,,
583caf5523483,RMIatTXwithRMS,2727 Dedman St,Pasadena,TX,77503,2727 DEDMAN ST,PASADENA,TX,77503,-95.149447,29.671008,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,8.4,6.1,Harris,RM482010570,1.45,OUT,12138,1948,714,1,,,,,,,,,
583caf3ad740a,RMIatTXwithRMS,10619 COBBLECREEK WAY,MISSOURI CITY,TX,77459,10619 COBBLECREEK WAY,MISSOURI CITY,TX,77459,-95.505536,29.503742,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,30,28,Fort Bend,RM481570370,2.52,OUT,2249,2004,2072,2,,,,,,,,,
583caf1a04c63,RMIatTXwithRMS,4007 EDGEBROOK DR,BAYTOWN,TX,77521,4007 EDGEBROOK DR,BAYTOWN,TX,77521,-94.974212,29.766225,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,6,3.7,Harris,RM482010050,0.92,OUT,6952,1984,2212,2,,,,,,,,,
583cae18b1dbb,RMIatTXwithRMS,17922 Camden Oaks Lane,Richmond,TX,77407,17922 CAMDEN OAKS LN,RICHMOND,TX,77407,-95.697947,29.702133,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,42,39,Fort Bend,RM481570350,1.99,OUT,1282,1997,2213,2,,,,,,,,,
583cacea1b62b,RMIatTXwithRMS,303 W Gaywood Dr,Houston,TX,77079,303 W GAYWOOD DR,HOUSTON,TX,77079,-95.573206,29.766045,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,35,31,Harris,RM482010310,0.91,OUT,10182,1964,4290,3,,,,,,,,,
583cab5bcb222,RMIatTXwithRMS,7002 Oakwood Glen Cir,Spring,TX,77379,7002 OAKWOOD GLEN CIR,SPRING,TX,77379,-95.52601,30.032269,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,41,35,Harris,RM482010410,1.26,OUT,2904,1979,1808,2,,,,,,,,,
583cab397a93d,RMIatTXwithRMS,,,,,,,,,,,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,,,,,,,,,,,,,3413 Cowboy Nation Ct,Corpus Cristi,TX,78414,0,0,False
583cab3729412,RMIatTXwithRMS,1442 ELIAS PEAK CT,HOUSTON,TX,77073,1442 ELIAS PEAK CT,HOUSTON,TX,77073,-95.406257,30.010474,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,35,28,Harris,RM482010010,1.15,OUT,8781,2009,1438,2,,,,,,,,,
583cab18e9765,RMIatTXwithRMS,3807 Crystal Falls Dr,Missouri City,TX,77459,3807 CRYSTAL FALLS DR,MISSOURI CITY,TX,77459,-95.546807,29.563807,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,32,32,Fort Bend,RM481570360,2.59,OUT,8669,1984,1947,2,,,,,,,,,
583caa4d4b680,RMIatTXwithRMS,138 Aguila Drive,Brownsville,TX,78521,138 AGUILA DR,BROWNSVILLE,TX,78521,-97.450257,25.906647,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,13.8,11.7,Cameron,RM480610800,1.81,,7194,,,,,,,,,,,,
583caa0d7abee,RMIatTXwithRMS,4911 Oxbow Cir W,Fulshear,TX,77441,4911 OXBOW CIR W,FULSHEAR,TX,77441,-95.933509,29.672145,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,56,53,Fort Bend,RM481570300,3.02,OUT,3608,2006,4126,3,,,,,,,,,
583caa027251f,RMIatTXwithRMS,1226 burning tree rd,kingwood,TX,77339,1226 BURNING TREE RD,KINGWOOD,TX,77339,-95.24485,30.034788,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,30,23,Harris,RM482010310,0.80,OUT,1504,1979,1694,2,,,,,,,,,
583ca95471ba7,RMIatTXwithRMS,2334 WHISPERING PINES ST,NEW CANEY,TX,77357,2334 WHISPERING PINES ST,NEW CANEY,TX,77357,-95.165246,30.17787,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,37,31,Montgomery,RM483390030,2.19,OUT,1554,1975,2102,2,,,,,,,,,
583ca94a0dff5,RMIatTXwithRMS,,,,,,,,,,,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,,,,,,,,,,,,,3413 COWBOY NATION,CORPUS CHRISTI,TX,78414,0,0,False
583ca8b8e9c82,RMIatTXwithRMS,3908 w hackberry,mcallen,TX,78501,3908 W HACKBERRY AVE,MCALLEN,TX,78501,-98.263342,26.215185,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,52,52,Hidalgo,RM482150100,1.72,OUT,9639,1997,1525,2,,,,,,,,,
583ca7dd5c7e9,RMIatTXwithRMS,2911 N 42nd Ln,Mcallen,TX,78501,2911 N 42ND LN,MCALLEN,TX,78501,-98.264116,26.23548,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,52,52,Hidalgo,RM482150100,2.37,OUT,2428,2003,2612,3,,,,,,,,,
583ca6c1f1317,RMIatTXwithRMS,7631 Rosewood Dr,Lumberton,TX,77657,7631 ROSEWOOD DR,LUMBERTON,TX,77657,-94.202046,30.249464,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,41,28,Hardin,RM481991510,1.34,OUT,2483,1994,1929,,,,,,,,,,
